EXPIRATION,SIG,WFO,MSG_TYPE,PHENOM,URL,PROD_TYPE,ISSUANCE,WARNID,EVENT
2020-01-03T15:00:00+00:00,W,PAFG,WSW,BZ,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984493-3382117,Blizzard Warning,2020-01-02T14:48:00+00:00,O.CON.PAFG.BZ.W.0028.1577976480,"0028"
2020-01-05T03:00:00+00:00,Y,PAFG,WSW,WC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984494-3382118,Wind Chill Advisory,2020-01-02T14:48:00+00:00,O.CON.PAFG.WC.Y.0020.1577976480,"0020"
2020-01-03T15:00:00+00:00,Y,PAFG,WSW,WC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984490-3382114,Wind Chill Advisory,2020-01-02T14:48:00+00:00,O.CON.PAFG.WC.Y.0022.1577976480,"0022"
2020-01-02T18:00:00+00:00,Y,KBUF,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984489-3382113,Small Craft Advisory,2020-01-02T14:45:00+00:00,O.CON.KBUF.SC.Y.0114.1577976300,"0114"
2020-01-02T22:00:00+00:00,Y,KBUF,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984488-3382112,Small Craft Advisory,2020-01-02T14:45:00+00:00,O.CON.KBUF.SC.Y.0114.1577976300,"0114"
2020-01-02T22:00:00+00:00,Y,KBUF,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984488-3382112,Small Craft Advisory,2020-01-02T14:45:00+00:00,O.CON.KBUF.SC.Y.0114.1577976300,"0114"
2020-01-06T19:00:00+00:00,W,KBMX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984480-3382110,Flood Warning,2020-01-04T18:00:00+00:00,O.EXT.KBMX.FL.W.0007.1578160800,"0007"
2020-01-06T04:00:00+00:00,W,KBMX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984478-3382108,Flood Warning,2020-01-04T07:02:00+00:00,O.CON.KBMX.FL.W.0004.1578121320,"0004"
,W,KBMX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984479-3382109,Flood Warning,2020-01-03T21:23:00+00:00,O.CON.KBMX.FL.W.0005.1578086580,"0005"
2020-01-03T04:00:00+00:00,Y,KGRR,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984476-3382106,Small Craft Advisory,2020-01-02T14:33:00+00:00,O.EXT.KGRR.SC.Y.0079.1577975580,"0079"
2020-01-03T04:00:00+00:00,Y,KGRR,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984476-3382106,Small Craft Advisory,2020-01-02T14:33:00+00:00,O.EXT.KGRR.SC.Y.0079.1577975580,"0079"
2020-01-03T04:00:00+00:00,Y,KGRR,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984476-3382106,Small Craft Advisory,2020-01-02T14:33:00+00:00,O.EXT.KGRR.SC.Y.0079.1577975580,"0079"
2020-01-03T04:00:00+00:00,Y,KGRR,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984476-3382106,Small Craft Advisory,2020-01-02T14:33:00+00:00,O.EXT.KGRR.SC.Y.0079.1577975580,"0079"
2020-01-03T04:00:00+00:00,Y,KGRR,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984476-3382106,Small Craft Advisory,2020-01-02T14:33:00+00:00,O.EXT.KGRR.SC.Y.0079.1577975580,"0079"
2020-01-03T04:00:00+00:00,Y,KGRR,MWW,SC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984476-3382106,Small Craft Advisory,2020-01-02T14:33:00+00:00,O.EXT.KGRR.SC.Y.0079.1577975580,"0079"
2020-01-05T14:00:00+00:00,W,KBMX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984477-3382107,Flood Warning,2020-01-04T09:36:00+00:00,O.EXT.KBMX.FL.W.0003.1578130560,"0003"
,W,KCHS,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984472-3382102,Flood Warning,2020-01-02T14:31:00+00:00,O.CON.KCHS.FL.W.0020.1577975460,"0020"
,W,KCHS,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984473-3382103,Flood Warning,2020-01-02T14:31:00+00:00,O.CON.KCHS.FL.W.0016.1577975460,"0016"
,W,KCHS,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984475-3382105,Flood Warning,2020-01-02T14:31:00+00:00,O.CON.KCHS.FL.W.0021.1577975460,"0021"
